Created,By,기업명,모집공고,모집 부서,구분,경력,연도,시작일자,마감일자,업무,자격요건,우대사항,금융기업,데이터직무,코딩테스트,기술스택,"기타, 참고사항",태그_데이터 관련 자격증,태그_학력,페이지 링크,태그_개발역량 (삭제 예정),"태그, 키워드 (삭제 예정)"
"February 23, 2025 2:16 AM",김채연,(주)네피리티,[(주)네피리티/서울] 데이터 분석 및 AI모델 개발 모집,,"계약직/파견직, 정규직","경력(연차 무관), 신입",2025,2025/02/14,2025/03/16,"- 데이터 수집 및 정제
- 데이터 분석 및 시각화
- AI/머신러닝 모델 개발 및 검증
- 모델 성능 최적화 및 배포","- 경력: 신입 및 경력무관
- 학력: 학사이상
- 배움의 대한 열정과 책임감이 있으신 분","- 컴퓨터/시스템공학, 공학계열
- 정보처리기사
- 해당직무 근무경험",No,Yes,,,,,학부졸업생,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50001996&recommend_ids=eJxNj8sRxDAIQ6vZuzAg0HkLSf9drJP12Dm%2BEegTUoOOqw2f%2Boa6anRdwnhQQ54%2BVf5VT%2FRBBos90SYmkHDZsrqRUCyrG03%2BwgBTO7eSrtyotPl8nF0tvILMMhfOVozM2K1KVRGvRbQYW1XMuXaswG47xxCpM1BuTy5%2BcIRAXA%3D%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=69052ec6e023d3d05be9&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 2:11 AM",김채연,(주)마크클라우드,"Al 개발(Python), 데이터분석 및 사업 기획 모집",AI 팀,정규직(수습),"5년 이하, 신입",2025,2025/01/21,,"Big Data, 통계, 분석, 모델링, 시각화","ㆍ데이터 분석을 위한 프로그래밍 역량 (Python, R, SQL 등)
ㆍ데이터 크롤링, EDA(Exploratory Data Analysis), 전처리 업무 숙련자
ㆍPandas 및 Numpy 등 라이브러리 활용하여 데이터 전처리 및 가공 가능하신 분
ㆍ텍스트마이닝을 위한 라이브러리 사용 가능자
ㆍ네트워크 분석, 토픽 모델링, 데이터 통계 시각화 등 가능하신 분
ㆍ이미지 처리, NLP (머신러닝/딥러닝)에 경험이 있는 분 (경력/프로젝트 모두 포함)","ㆍ정부 또는 기관에서 진행하는 빅데이터 분석과정을 수료하거나 관련 공모전에서 수상한 경험이 있는 분
ㆍ데이터분석 관련 논문 또는 관련 교육 기관에서 진행한 포트폴리오가 있으신 분
ㆍ분석결과에 대한 명확한 의사소통 및 문서화 기술이 있으신 분
ㆍ상경계열, 사회과학계열, 수학/통계학
ㆍPytorch, Keras, Tensorflow 등 라이브러리 활용 해 보신분
ㆍ분석 툴 사용 및 보고서 기획/작성 경험이 있는 분
ㆍ소셜빅데이터 분석을 해본 경험이 있는 분(경력/프로젝트 모두 포함)
ㆍ시각화 툴 사용 및 개발 경험이 있는 분
ㆍ데이터 분석 관련 자격증 보유하신 분
ㆍR, Python 등 언어를 활용한 데이터 정제, 분석, 모델링, 시각화 경험이 있으신 분
ㆍ데이터 기반 실험 및 모델을 실 서비스에 적용하고 개선하여 비즈니스 Insight를 창출해 본 경험이 있으신 분",No,Yes,,"Python, R, SQL, Pandas, Numpy, NLP","수습기간 3개월, 채용시 마감",,학부졸업생,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49809406&recommend_ids=eJxNj7ERBDEIA6u5HAwIFH8h138Xx3s8tsMdwQqcGTDGWypP%2FkIkIPSXMhqdyUz3lToroT7OsAuCjTpT0JTSiKVSFi5scy3zRPXcRSyByVYVPOLqhXNwqRotum0jYpSf3Z60sKtXjLpVSbV51TILgfMCQ%2FvKgxUDf5V%2BeTRAgQ%3D%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=09eadc950af19b907e0d&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 2:03 AM",김채연,(주)마크클라우드,"Al 개발(Python), 데이터분석 및 사업 기획 모집",AI 팀,정규직(수습),"5년 이하, 신입",2025,2025/01/21,,AI 모델 연구 및 개발(Python),"ㆍ이미지, 텍스트 머신러닝/딥러닝 엔진 개선 및 Fine-tuning
ㆍPytorch, Keras, Tensorflow 등 라이브러리 활용 해 보신 분
ㆍ논문을 읽고 이해하며 구현할 수 있는 능력을 가지신 분
ㆍ오픈 소스 생성형 인공지능 (Generative AI) 개발 경험","ㆍ정부 또는 기관에서 진행하는 빅데이터 분석과정을 수료하거나 관련 공모전에서 수상한 경험이 있는 분
ㆍ데이터분석 관련 논문 또는 관련 교육 기관에서 진행한 포트폴리오가 있으신 분
ㆍ분석결과에 대한 명확한 의사소통 및 문서화 기술이 있으신 분
ㆍ상경계열, 사회과학계열, 수학/통계학
ㆍPytorch, Keras, Tensorflow 등 라이브러리 활용 해 보신분
ㆍ분석 툴 사용 및 보고서 기획/작성 경험이 있는 분
ㆍ소셜빅데이터 분석을 해본 경험이 있는 분(경력/프로젝트 모두 포함)
ㆍ시각화 툴 사용 및 개발 경험이 있는 분
ㆍ데이터 분석 관련 자격증 보유하신 분
ㆍR, Python 등 언어를 활용한 데이터 정제, 분석, 모델링, 시각화 경험이 있으신 분
ㆍ데이터 기반 실험 및 모델을 실 서비스에 적용하고 개선하여 비즈니스 Insight를 창출해 본 경험이 있으신 분",No,No,,"Python, Pytorch, Keras, Tensorflow","수습기간 3개월, 채용시 마감",,학부졸업생,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49809406&recommend_ids=eJxNj7ERBDEIA6u5HAwIFH8h138Xx3s8tsMdwQqcGTDGWypP%2FkIkIPSXMhqdyUz3lToroT7OsAuCjTpT0JTSiKVSFi5scy3zRPXcRSyByVYVPOLqhXNwqRotum0jYpSf3Z60sKtXjLpVSbV51TILgfMCQ%2FvKgxUDf5V%2BeTRAgQ%3D%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=09eadc950af19b907e0d&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 1:57 AM",김채연,(주)에버스핀,[신입/경력] 빅데이터 분석 마케터 채용,,정규직(수습),"경력 무관, 신입",2025,2025/01/31,2025/03/02,"- 모바일 빅데이터 분석을 통해 금융 사기와 관련된 인사이트 발굴
- 분석된 데이터로 고객사 설명 및 안내","- 전문대졸 이상
- 신입 가능(데이터 분석 관련 학과 혹은 관련 자격 취득자)","- 엑셀, 워드 등 OA 중급이상 사용가능
- SQL 사용가능 (SELECT, JOIN 활용 가능자)
- 데이터 분류 및 분석 능력 우대
- 원활한 커뮤니케이션
- 데이터 분석 관련 업무 능력자",No,Yes,,SQL,데이터 분석 관련 학과 혹은 관련 자,,"기타('참고사항'컬럼 참고), 학부졸업생",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49853228&recommend_ids=eJxNj7sRwzAMQ6dJzy9I1BnE%2B28R2dKZ6fAOEAEF2QKXqxWf%2BqYIwrsuim1MZeO4sWTQOOEQ5I36uLSVyPN2yYKG%2Fbn09IP7sscbLlfDHZbturba9HoGcdyl0jrkxRauIbNK0K1vb7EqYnrdVGNWpULmC%2BsUMAi68in6AW2EQFA%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=3e51964845b270ca929d&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 1:49 AM",김채연,(주)바이오바이츠,헬스케어 인공지능 모델 개발 및 데이터 분석 PM 채용,,정규직(수습),"경력 무관, 신입",2025,2025/01/23,,"[주요업무]
- 헬스케어 분야의 인공지능 모델 개발을 담당합니다.
- 데이터 분석을 통해 인사이트를 도출하고 모델 성능을 향상시킵니다.
- 의료 데이터를 수집, 정제, 전처리하여 분석 가능한 형태로 변환합니다.
- 최신 AI 기술 동향을 파악하고 이를 프로젝트에 적용합니다.
- 다양한 팀과 협업하여 프로젝트 목표를 달성합니다."," [자격요건]
- 컴퓨터 공학, 데이터 과학 또는 관련 분야의 학사 학위 이상 소지자
- 인공지능 및 머신러닝 관련 프로젝트 경험이 있으신 분
- Python, R 등 데이터 분석 툴에 능숙하신 분
- 데이터베이스 및 SQL 사용 경험이 있으신 분"," [우대사항]
- 의료 데이터 분석 경험이 있으신 분 
- 헬스케어 분야의 인공지능 프로젝트 경험이 있으신 분
- 딥러닝 프레임워크(TensorFlow, PyTorch 등) 사용 경험이 있으신 분
- 빅데이터 플랫폼(Hadoop, Spark 등) 경험이 있으신 분
- 의료 관련 자격증 소지자
- 팀워크와 커뮤니케이션 능력이 뛰어나신 분",No,Yes,,"Python, R, SQL","수습기간 3개월, 채용시 마감",,학부졸업생,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49826150&recommend_ids=eJxNj7kVA0EMQqtxrhOJ2IVs%2F11YY69nNuSBviDYCBqvVrzqHWSXu18UG5kiUGSNKz8Zglxh%2FYa7oGH7toUA73AQdKUcMqsqbvKEPSdyo4Y8UrBddhr8uKlTdP%2BtQUVsyVQIn2Gt487AzNitZqynPzuvv3%2B308367E1x6kJ9AJU7QHo%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=b505d5a831a5db981a32&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 1:41 AM",김채연,디큐월드(유),주니어 데이터 사이언티스트 채용 공고,,정규직,신입,2025,2025/02/03,,"주니어 데이터 사이언티스트는 DQ Lab의 데이터 팀에서 데이터 수집, 정제, 분석 및 모델링을 수행하며, 데이터 기반 의사결정을 지원하는
다양한 프로젝트에 참여합니다.
[주요 업무]
- 대규모 데이터셋의 수집, 정제 및 전처리
- 데이터 분석 및 패턴 탐색을 통해 인사이트 도출
- 데이터 시각화를 통해 분석 결과를 직관적으로 전달
- 머신러닝 및 통계 모델을 활용한 예측 분석 및 성능 평가
- 데이터 품질 관리 및 데이터 파이프라인 최적화
- 비즈니스 및 기술팀과 협력하여 데이터 활용 방안 모색
","필수 요건
- 컴퓨터 과학, 데이터 과학, 통계학, 수학 또는 관련 분야 학사 학위 이상
- Python 또는 R을 활용한 데이터 분석 및 프로그래밍 경험
- SQL을 이용한 데이터베이스 쿼리 및 데이터 조작 능력
- 데이터 전처리 및 클리닝 경험 (예: Pandas, Numpy, OpenRefine 등)
- 논리적 사고력과 문제 해결 능력
- 원활한 커뮤니케이션 및 협업 능력","다음과 같은 경험이 있다면 더욱 좋습니다.
- 영어 커뮤니케이션 능력 (글로벌 팀과 협업 가능)
- 머신러닝 및 딥러닝 모델 개발 경험 (TensorFlow, PyTorch 등)
- 데이터 시각화 도구 활용 경험 (Tableau, Power BI 등)
- 빅데이터 처리 기술 경험 (Hadoop, Spark 등)
- 클라우드 환경(AWS, GCP, Azure)에서 데이터 분석 경험
- 통계 모델링에 대한 이해",No,Yes,,"Python, R, SQL",채용시 마감,,"컴퓨터공학과 등, 통계학과, 학부졸업생",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49863029&recommend_ids=eJxNj8sRw0AIQ6vJHfERcE4h7r%2BLYGdn8PHN00qsdyXhehXkk98QCUr71aKD3mXhzbH8I721T3hQiZBj77eYxCAeO0kLO%2Fg0w%2FM0n6HaoVkVbhXByL1qXLx2w1Rrm6GdL5tTnIv0CN8vBFteR5YYaq0ZxNayCnczfm29QGs%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=4fb2bee2f8baa4240b9b&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 1:34 AM",김채연,메가존클라우드(주),데이터 분석가 채용,,정규직(수습),"경력 무관, 신입",2025,2025/02/20,2025/04/21,"- Cloud(AWS) Billing 데이터 분석
- RI/SP 운영 업무
- 데이터 기반 계약 진척률 관리
- AWS 수익율 분석","- 데이터 분석에 관심이 많은 분
- 엑셀/스프레드시트 활용 능숙한 분
- 숫자 계산과 논리적인 사고 역량
- 관련 분야의 자기 주도적 학습 의지
- 새로운 기술과 지식을 배우는데 적극적인 태도","- SQL Query 활용 경험 (Athena, BIgquery, Databricks 등)
- AWS 및 Finops 자격증 보유
- BI Tool 사용 경험(Quicksight, Lookerstudio 등)",No,Yes,,,수습기간 3개월,,학력 무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50052854&recommend_ids=eJxNj7kRw0AMA6txzp9A7ELUfxempJs7h5glHgbRpWEXVD%2F9TZFIh10UGxmEZ7CGyiM7y5kj6z1OJWp5gzR6%2Bj5GoagnKotSy%2FvSkEXvXqnkpoS44kSlm2HThhv%2BaHN2HW9qCRedZDU298hKw%2FTuf6UA3RSBiT8j3VXuZP0BlgdAlQ%3D%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=e9f9d80ad1d52d5ddacf&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 1:15 AM",김채연,(주)대연,[NIKE PARTNER] 데이터 사이언티스트 채용,,계약직/파견직,"경력 무관, 신입",2025,2025/02/14,2025/03/16,"- 데이터 분석 및 모델링: 판매, 고객, 제고 등 데이터 분석
- 경영 전력 수립에 필요한 인사이트를 도출 → 예측 모델 개발
- 데이터 기반 의사결정 지원: 분석 결과 시각화
- 경영진 및 관련 부서의 데이터 기반 의사결정을 지원
- 협업 및 커뮤니케이션: 다양한 부서와 협력하여 데이터 기반의 솔루션을 개발 및 적용","- 경력: 무관
- 학력: 무관
- Python을 활용한 데이터 분석 및 프로그래밍 경험
- SQL을 활용한 데이터베이스 쿼리 및 관리 능력
- 머신러닝 및 예측 모델링 경험","- 비즈니스에 대한 높은 이해도
- 팀원 및 타 부서와의 원활한 커뮤니케이션
- 우수한 문제 해결 능력과 분석적 사고를 보유
- 데이터 시각화 도구 활용 경험 (Power BI 등)
- 통계 모델링에 대한 이해",No,Yes,,,계약직 1년/정규직 전환 가능,,학부졸업생,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50004869&recommend_ids=eJxNj7kRA1EIQ6txziVAsQtx%2F10Ye3c%2BGxC8EUgi2JUa9mnVV71jUCzjQ7ELHcEcVf5Io8MH88KWdDlY7dZ9rAhN4X0LETUWVy3twB00KpS%2BucWqiOM8rWZOjc4AYlEZzxeQlNxbuNm2Sox1b2cTtO1yt0Y9con8%2FStfpjhA0w%3D%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=513d909ffddffb15ff61&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 1:07 AM",김채연,(주)씨아이템프러리,현대카드 카드기획팀 데이터 추출 및 분석가 채용 /SQL/,카드기획팀,계약직/파견직,"경력 무관, 신입",2025,2025/01/24,2025/02/23,"- SQL을 활용한 실적 데이터 추출 및 분석
- 회원 카드 사용/가맹점 매출 및 분석
- 공시자료 및 DASHBOARD 작성",,"*데이터 추출/분석 업무 경력자
*SQL 관련 자격증 소지자
*데이터 관련 전공자
*해외여행 결격사유X
*남성인 경우 병역필 또는 면제자",No,Yes,,,,,학력 무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49835083&recommend_ids=eJxNjsEVwzAIQ6fpHWMh0LmDZP8t6iSu7aPe5yNBlWzwq1r75BcjmhOXzJ8oV4%2B%2BqMrYbUTOYwVvai9VMnK5qUxguQwvbFcIZptumAVa5%2B6tAWq56Rblu7cJ52ZPGTdVwv9F4zNMfY%2Bs4Hs8V5F1uqyy4%2FOYgbzpD6VcQLk%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_scnid=811&t_ref_content=SRI_050_SCH_CVS_RCT_AVA_NONMEM&t_ref=search&inner_source=saramin&inner_medium=pattern&inner_campaign=SRI_050_SCH_CVS_RCT_AVA_NONMEM&inner_term=1&referNonce=132f9bca6b607dfe16bf&relayNonce=c47acb144c2327441ecd&paid_fl=n&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 12:55 AM",김채연,(주)사람인에이치에스,[워라밸/신입가능] 한국정보통신진흥협회 AI데이터사업팀 사무직,AI 데이터 사업팀,계약직/파견직,"경력 무관, 신입",2025,2025/02/17,2025/02/24,행정 사무 업무,,컴퓨터 활용 가능자 (excel),No,No,,,"고용형태: 사람인HS 소속 파견계약직 (입사일 ~ 2년 근무)
 *한국정보통신진흥협회 재직증명서/경력증명서 발급 가능
 * 2년 계약만료 후 실업급여 수급 가능",,학력 무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50022107&recommend_ids=eJxVjskRxEAIA6PZv2A43w7E%2BWex1IwL7GeXRCNJT3eROwg%2FvyTDwpLuBB9ciliV0kE3Em7MgC00OkODR0Upu2xtNow5XRifvyZPqoBVVx7zRnWfGWoJe80oSzTWaey0zQEe1arXGFQi1TGXSrw3Wy465T%2BZiUCN&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=d65776d067e9dfca1c89&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
